Name,Title,Cost,EntryCost,Description,MOD,RO,RP-0,CATEGORY,INFO,TECHNOLOGY,YEAR,ERA,ORPHAN,RP0conf,SPACECRAFT,ENGINE CONFIG,UPGRADE,SAME,PLACEMENT NOTES,COST NOTES,DATE COSTED,ECM'S,IDENTICAL,Avion,DecA,DecB,EngLqdPF,EngLqdTurb,EngSolid,Haibt,Human,Instrum,Nuke,Reentry,Toxic,Decoup,Hydro,Balloon,SM,NonReentry,Unpress,Tank Type,Diameter,Length
3_75mAdapter,CST-100 4M Adapter,500,1000,A structural adapter to connect the service module of the CST-100 to 4.65 meter parts.,CST-100 Starliner,Yes,No,MATERIALS,Adapter,materialsScienceNF,2020,11-NF,,false,CST-100 Starliner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.75_Heatshield,Heatshield (3.75m),1200,8800,"Sturdy thermal shield to keep the fiery death on the outside of the pod. Make sure the shield points to the travel direction while reentering, or the pod may still get heated up. Recommended for any pods reentering atmospheres.",Deadly Reentry,Yes,No,,Heat Shield,#N/A,,00-START,Yes,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
30x_NK-15,30x_NK-15,0,0,,Engine_Config,Yes,,STAGED,,stagedCombustion1969,1969,05-LUNAR,,,N1 Block A (1st Stage),N1_BlockA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30x_NK-33,30x_NK-33,0,0,,Engine_Config,Yes,,STAGED,,stagedCombustion1972,1973,06-STATION,,,N1F Block A (1st Stage),N1_BlockA,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,
400N_Engine,S-400 Bipropellant Engine (400N),200,2800,"The S400 400N bipropellant Engine is designed for apogee orbit injection of geostationary satellites and for trajectory and planetary orbit manoeuvres of deep space probes. Notable missions include Galileo, Mars Express, Venus Express & the ExoMars Trace Gas Orbiter. Plume configured by RealPlume.",Niche Parts,Yes,No,RCS,RCS Engine,standardDockingPorts,1989,08-LONGTERM,,false,"Galileo, Mars Express, Venus Express",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45DegreeRCS,"RCS Quad, 45deg (275/445 N class)",35,2000,"A generic RCS quad with 45degree side-thruster orientation. Use this for attitude control or translation/ullage for medium stages and spacecraft (when using NTO/MMH, same performance as the Apollo SM quads).",Ven Stock Revamp,Yes,Yes,RCS,RCS,improvedFlightControl,1963,03-HUMAN,,true,,,,,,,,"1000, rcsMult",,,,,X,,,,,,,,,,,,,,,,,
4x_NK-21,4x_NK-21,0,0,,Engine_Config,Yes,,STAGED,,stagedCombustion1969,1969,05-LUNAR,,,N1 Block V (3rd stage),N1_BlockV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4x_NK-39,4x_NK-39,0,0,,Engine_Config,Yes,,STAGED,,stagedCombustion1972,1973,06-STATION,,,N1F Block V (3rd stage),N1_BlockV,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,
625mBonny,Bonanza Cabin,12,1,Cabin section for the Beechcraft Bonanza,SXT,Yes,Yes,FLIGHT,,unlockParts,0,00-START,,true,,,,,,,,1,,,,,,,,X,,,,,,,,,,,X,,,
7k_ok_lsolar,Soyuz 7K Left Solar Array,2000,70000,Soyuz 7K series LEFT solar panels.,RN Soyuz,Yes,Yes,POWER,Solar,improvedPower,1966,04-ADV,,true,Soyuz 7K-OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7k_ok_rsolar,Soyuz 7K Right Solar Array,2000,70000,Soyuz 7K series RIGHT solar panels.,RN Soyuz,Yes,Yes,POWER,Solar,improvedPower,1966,04-ADV,,true,Soyuz 7K-OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890N_Engine,R-42 Bipropellant Engine (890N),200,1500,The R-42 Engine is designed for apogee orbit injection of geostationary satellites and for trajectory and planetary orbit manoeuvres of deep space probes. The engine is an evolution of the R-4D series of engines used on the highly successful HTV vehicle and the legendary Cassini probe. Plume configured by RealPlume.,Niche Parts,Yes,No,RCS,RCS Engine,standardDockingPorts,1986,08-LONGTERM,,false,R-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8x_NK-15V,8x_NK-15V,0,0,,Engine_Config,Yes,,STAGED,,stagedCombustion1969,1969,05-LUNAR,,,N1 Block B (2nd Stage),N1_BlockB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8x_NK-43,8x_NK-43,0,0,,Engine_Config,Yes,,STAGED,,stagedCombustion1972,1973,06-STATION,,,N1F Block B (2nd Stage),N1_BlockB,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-4,A-4,0,1,,Engine_Config,Yes,,ORBITAL,,start,0,00-START,,,V-2,A-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-6,A-6,0,"3000, Navaho-PhaseIII-TP",The production version of the NAA75-110 engine as used on Redstone and the Mercury-Redstone Launch Vehicle.,Engine_Config,Yes,,ORBITAL,,basicRocketryRP0,1952,01-PW,,,Redstone,NAA75_110,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-7,A-7,200,"5000, HydyneFuel",NAA75-110 using Hydyne fuel for increased thrust and specific impulse. Used on the Redstone-derivative Jupiter-C sounding rocket and Juno I launch vehicle.,Engine_Config,Yes,,ORBITAL,,orbitalRocketry1956,1956,02-SAT,,,Redstone,NAA75_110,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-9,A-9,550,"20000, HydyneFuel",Derivate of the A-4/V-2 engine for use with the A-9 upper stage / spaceplane. Fuel mixture is speculative.,Engine_Config,Yes,,ORBITAL,,rocketryTesting,PW,01-PW,,,,A-4,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,
A7,NAA-75-110 A-Series,400,16000,"Used on the Redstone missile.  Designed for Ethanol/LOx (A-6) (1.5 O/F Ratio), it was later adapted to burn Hydyne/LOx (A-7) (1.73 O/F Ratio)(higher performance (12%) yet more toxic) for use in Jupiter C / Juno I.  When Redstone MRLV was adapted from Jupiter C for manned use the A7 was switched back to Ethanol, accepting slightly lower performance for lack of toxicity. Thrust Vector Control was provided by carbon thrust vanes (add the Redstone Fin / Thrust vane part in 4x symmetry), and additional attitude control was provided by actuating fins. Mass includes thrust frame. Diameter: [1.77 m]. Plume configured by RealPlume.",RealEngines,Yes,Yes,ORBITAL,,basicRocketryRP0,1952,01-PW,,true,Redstone,NAA75_110,,,,,,A-6,"bluedog_redstone,FASA_Mercury_Redstone_Eng,A7",,,,,X,,,,,,,,,,,,,,,,
AccelerometerFGA,AIES FGA Accelerometer,1000,8200,A device for measuring the forces of 'G'. What a surprise.,AIES,Yes,No,,,#N/A,,00-START,Yes,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
ADAPTER_BLOCK_I,Soyuz/Progress Payload Adapter,280,6400,A payload adapter for the Soyuz and Progress spacecrafts.,DECQ R7/SOYUZ,Yes,No,MATERIALS,Payload,materialsScienceSpaceStation,1978,06-STATION,,false,Soyuz/Progress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAPTER_BLOCK_I2,Soyuz ST Payload Adapter,280,6400,"The expanded adapter is used with the ESA fairing for the Soyuz 2 (ST-A & ST-B) launch vehicle, accepting payloads of up to 2.5 meters in diameter.",DECQ R7/SOYUZ,Yes,No,MATERIALS,Adapter,materialsScienceInternational,2004,09-INTL,,false,Soyuz 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adapter-125-0625-2,SM-2 Stack Dual Adapter,200,1000,"Converts a 1.25m stack into two 0.625m mounts, suitable for mounting all manner of small engines.",Near Future Construction,Yes,No,MATERIALS,Adapter,materialsScienceSatellite,1956,02-SAT,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adapter-125-0625-3,SM-3 Stack Triple Adapter,250,1050,"Converts a 1.25m stack into three 0.625m mounts. Tiny, tiny mounts.",Near Future Construction,Yes,No,MATERIALS,Adapter,materialsScienceSatellite,1956,02-SAT,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adapter-125-0625-4,SM-4 Stack Quadruple Adapter,300,1100,Converts a 1.25m stack into a quartet 0.625m mounts.,Near Future Construction,Yes,No,MATERIALS,Adapter,materialsScienceSatellite,1956,02-SAT,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adapter-25-125,Rockomax Skeletal Structural Adapter,350,2500,A barebones adapter from Rockomax that upholds the company's reputation for quality bargain-bin parts.,Near Future Construction,Yes,No,MATERIALS,Adapter,materialsScienceHuman,1961,03-HUMAN,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adapter-25-multi-01,SE-4-OMNI Stack Multi-Adapter,450,1600,This breakthrough in modularity allows for a 2.5m stack to be split to between 2 and 8 0.625m stacks. With a cookie on top. (PART NOT SUPPORTED BY RP-0 OR RO),Near Future Construction,No,No,,,#N/A,,00-START,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adapter-375-25,Rockomax Skeletal XL Structural Adapter,1800,4800,Rockomax's first hurried attempt to enter the Kerbodyne-dominated extra-large parts market was met with limited applause.,Near Future Construction,Yes,No,MATERIALS,Adapter,materialsScienceAdvCapsules,1964,04-ADV,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adapter-rad-0625,S-MINI Radial Stack Adapter,675,1950,A pretty tiny radial stack adapter for 0.625m stacks. Now we don't need to use large tanks full of explosive fuels to do this. It's a win-win situation!.,Near Future Construction,Yes,No,MATERIALS,Adapter,materialsScienceHuman,1961,03-HUMAN,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adapter-rad-125,S-MED Radial Stack Adapter,1350,3100,A radial stack adapter for 1.25m stacks. Studies show that this could increase the ease of building rockets by up to 16.2%.,Near Future Construction,Yes,No,MATERIALS,Adapter,materialsScienceHuman,1961,03-HUMAN,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adapterEngines,Mk3 Engine Mount,2500,42000,A structural mounting plate for rocket engines. (PART NOT COSTED BY RP-0 BUT IN CORRECT NODE),Stock (RO Config),Yes,No Cost,SPACEPLANES,Shuttle Parts,spaceShuttles,1981,07-SPCPLANES,,false,Shuttle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adapterLargeSmallBi,TVR-200L Stack Bi-Adapter,400,7800,"After realizing 'larger circles' wasn't a very patentable concept, O.M.B. Enterprises rolled out a new line of ingenious multi-connector adapters to fit Rockomax sized parts. Lawsuit still pending. Converts a single 2.5m stack into two 1.25m stacks.",Stock (RO Config),Yes,No,MATERIALS,Adapter,materialsScienceHuman,1961,03-HUMAN,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adapterLargeSmallQuad,TVR-400L Stack Quad-Adapter,800,7000,"After realizing 'larger circles' wasn't a very patentable concept, O.M.B. Enterprises rolled out a new line of ingenious multi-connector adapters to fit Rockomax sized parts. Lawsuit still pending. Converts a single 2.5m stack into four 1.25m stacks.",Stock (RO Config),Yes,No,MATERIALS,Adapter,materialsScienceHuman,1961,03-HUMAN,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adapterLargeSmallTri,TVR-300L Stack Tri-Adapter,600,6400,"After realizing 'larger circles' wasn't a very patentable concept, O.M.B. Enterprises rolled out a new line of ingenious multi-connector adapters to fit Rockomax sized parts. Lawsuit still pending. Converts a single 2.5m stack into three 1.25m stacks.",Stock (RO Config),Yes,No,MATERIALS,Adapter,materialsScienceHuman,1961,03-HUMAN,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adapterMk3-Mk2,Mk3 to Mk2 Adapter,1,42000,Our engineers insisted on a way to reuse Mk2 parts on the new Fuselage system. Manufacturing a streamlined adapter despite the considerable difference of the two cross sections required quite a radical design. It is often used as a slide on Take Your Kids to Work Day. (PART NOT COSTED BY RP-0 BUT IN CORRECT NODE),Stock (RO Config),Yes,No Cost,SPACEPLANES,Hull,spaceShuttles,1981,07-SPCPLANES,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adapterMk3-Size2,Mk3 to 4.3m Adapter,1,42000,"Perfectly pointy, carefully curved and devastatingly destructive, this Mk3 to 2.5m adapter can satisfy your wildest of dreams. Or it'll let you bridge the gaps between parts on your craft while giving you a bit of fuel... Your choice. (PART NOT COSTED BY RP-0 BUT IN CORRECT NODE)",Stock (RO Config),Yes,No Cost,SPACEPLANES,Hull,spaceShuttles,1981,07-SPCPLANES,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adapterMk3-Size2Slant,Mk3 to 4.3m Adapter Slanted,1,42000,Makes your craft hang in the air like bricks don't! (PART NOT COSTED BY RP-0 BUT IN CORRECT NODE),Stock (RO Config),Yes,No Cost,SPACEPLANES,Hull,spaceShuttles,1981,07-SPCPLANES,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adapterrads,AIES RAD-S Adapter,1,3300,Light fuselage adapter. (PART NOT COSTED BY RP-0 BUT IN CORRECT NODE),AIES,Yes,No Cost,MATERIALS,Adapter,materialsScienceSatellite,1956,02-SAT,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adapterSize2-Mk2,4.3m to Mk2 Adapter,1,18000,"When you can't decide between a rocket and a spaceplane, why not both? (PART NOT COSTED BY RP-0 BUT IN CORRECT NODE)",Stock (RO Config),Yes,No,SPACEPLANES,Hull,effectiveSpaceplanes,1970,05-LUNAR,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adapterSize2-Size1,C7 Brand Adapter - 2.5m to 1.25m,1,18000,"While the popular Rockomax Adapter has served its purpose fairly well over the years, C7 engineers thought they could do better. Improvements of this in-house product include an integrated fuel tank and a longer structural frame.",Stock (RO Config),Yes,No,MATERIALS,Adapter,materialsScienceSatellite,1956,02-SAT,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adapterSize2-Size1Slant,C7 Brand Adapter Slanted - 2.5m to 1.25m,1,18000,"While the popular Rockomax Adapter has served its purpose fairly well over the years, C7 engineers thought they could do better. Improvements of this in-house product include an integrated fuel tank and a longer structural frame.",Stock (RO Config),Yes,No,MATERIALS,Adapter,materialsScienceSatellite,1956,02-SAT,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adapterSize3-Mk3,Mk3 to 6.5m Adapter,1,42000,An adapter for when your craft turns from a massive rocket into a gargantuan plane! (PART NOT COSTED BY RP-0 BUT IN CORRECT NODE),Stock (RO Config),Yes,No Cost,SPACEPLANES,Hull,spaceShuttles,1981,07-SPCPLANES,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adapterSmallMiniShort,FL-A5 Adapter,100,4800,A small parts adapter for FL-T based fuselages.,Stock (RO Config),Yes,No,MATERIALS,Adapter,earlyMaterialsScience,1952,01-PW,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adapterSmallMiniTall,FL-A10 Adapter,150,4400,A small parts adapter for FL-T based fuselages.,Stock (RO Config),Yes,No,MATERIALS,Adapter,earlyMaterialsScience,1952,01-PW,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdvancedCanard,Advanced Canard,20,400,"Our engineers thought this design looked ""high tech"" and therefore must be clear improvement on earlier models.",Stock (RO Config),Yes,Yes,FLIGHT,Control Surface,advancedJetEngines,1964,04-ADV,,true,,,,,XB-70 and T-4,,,,,,,,,,,,,,,,,,,,,,,,,
ADVINTER,EDS - IV Propellant Tank,1,600,Nothing is really known about this thing. Use it at your own risk.,Chaka Monkey,Yes,No,MATERIALS,Fuel Tank,materialsScienceNF,2022,11-NF,,false,SLS EDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
advSascr3,AIES CR3 - Advanced S.A.S,2500,50000,By using the latest breakthroughs in material compression it became possible to make the A.S.A.S. unit that is thinner than the ones of competitors.,AIES,Yes,Yes,RCS,Reaction Wheel,spaceStationControl,1972,06-STATION,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
advSasModule,Advanced Inline Stabilizer,5000,100000,"This module uses an electric motor to spin its internal flywheels, producing torque, which allows for minor attitude adjustments without expending propellant.",Stock (RO Config),Yes,Yes,RCS,Reaction Wheel,spaceStationControl,1972,06-STATION,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerozine50+NTO,,35,"5000, AerozineFuel, BipropRCS",,Engine_Config,,,RCS,,earlyDocking,1964,04-ADV,,,,RCS,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aestus,Aestus,0,0,,Engine_Config,Yes,,ORBITAL,,orbitalRocketry1992,1996,08-LONGTERM,,,Ariane 5ES,Aestus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aestus-II,Aestus-II,0,0,,Engine_Config,Yes,,ORBITAL,,orbitalRocketry2014,2018,10-COMM,,,Ariane (In Development),Aestus,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgenaSPS,AgenaSPS,0,0,,Engine_Config,Yes,,ORBITAL,,orbitalRocketry1959,1959,02-SAT,,,Agena A,AgenaSPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIESrcsThrusrmt1,AIES MT-1 RCS Thruster Port,12,240,"Linear RCS drive, best used for rotation. (This part refers to an RO RCS config that is not defined, and may not work correctly.)",AIES,Rework,Yes,RCS,RCS,earlyFlightControl,1959,02-SAT,,true,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
AIESrcsThrusrom9,AIES ROM-9 RCS Thruster Block,20,400,The RCS drive is necessary to maneuver spacecraft in space and allows greater control in the atmosphere.,AIES,Yes,Yes,RCS,RCS,earlyFlightControl,1959,02-SAT,,true,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
airbrake1,A.I.R.B.R.A.K.E.S,50,1000,"Research into feasible ways to slow down a plane in mid-air showed that loose hull panels are pretty great as drag-inducing deceleration devices. The discovery led to the invention of the Aerodynamically Integrated Retrograde Braking Robustly Armed Kinetic Extending System (A.I.R.B.R.A.K.E.S.), which is now popular mostly as a cheap alternative to longer runways. C7 Engineers are still trying to come up with a shorter name for such a long acronym.",Stock (RO Config),Yes,Yes,FLIGHT,Control Surface,matureSupersonic,1955,01-PW,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
airlinerCtrlSrf,FAT-455 Aeroplane Control Surface,800,16400,Large conventional control surface.,Stock (RO Config),Yes,No,FLIGHT,Control Surface,matureTurbofans,1970,05-LUNAR,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
airlinerMainWing,FAT-455 Aeroplane Main Wing,2800,36400,One of the largest lifting surfaces in production. The internal volume of these is big enough to carry generously sized fuel tanks.,Stock (RO Config),Yes,No,FLIGHT,Wing,matureTurbofans,1970,05-LUNAR,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
airlinerTailFin,FAT-455 Aeroplane Tail Fin,1000,4000,Large conventional wing with built-in control surface.,Stock (RO Config),Yes,No,FLIGHT,Tail,matureTurbofans,1970,05-LUNAR,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
airplaneTail,Tail Connector A,5,1,"A simple aerodynamic tail for aircraft. Designed to fit onto all standard 1.25m attachments, this part is the embodiment of our ""Let's Fly"", line of parts.",Stock (RO Config),Yes,Yes,FLIGHT,,unlockParts,0,00-START,,true,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
airplaneTailB,Tail Connector B,5,1,This raised variant of our popular airplane tail provides a lot of ground clearance during take-off.,Stock (RO Config),Yes,Yes,FLIGHT,,unlockParts,0,00-START,,true,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
airScoop,XM-G50 Radial Air Intake,20,1,"An intake duct version that can be mounted at the sides of a fuselage. Warranty does not cover engine flame-outs or any objects, inanimate or otherwise, sucked in by the intake. Optimized for subsonic flight.",Stock (RO Config),Yes,Yes,FLIGHT,,unlockParts,0,00-START,,true,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
AJ-60A,AJ-60A,0,0,,Engine_Config,Yes,,SOLID,,solids1998,2002,09-INTL,,,,AJ60A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ10_104,AJ10 Series (Mid),250,5000,"Small pressure-fed hypergolic upper stage engine. Derivative of the first US liquid rocket engine, the AJ10 series is perhaps the longest-lived of any engine series, a part of the US's first satellite launch vehicle, Vanguard, the Apollo CSM, and even one projected Orion service module. This represents mid-period AJ10s with a nozzle extension and restart capability. Used on Thor-Ablestar and Delta E through Delta N. Plume configured by RealPlume.",RealEngines,Yes,Yes,ORBITAL,US Engine,orbitalRocketry1961,1961,03-HUMAN,,true,AJ10 (Mid),AJ10_Mid,,,,,,AJ10-104,"bluedog_ablestarEngine,SSTU-AJ10-CustomMid,SXTAJ10Mid,rn_aj10_104,AJ10_104",,,,X,,,,,,,,X,,,,,,,,,
AJ10_137,AJ10-137 (Service Propulsion System),700,24500,The Aerojet AJ10-137 rocket engine used on the Apollo Service Module as the Service Propulsion System. Diameter: [3.9 m]. Plume configured by RealPlume.,RealEngines,Yes,Yes,ORBITAL,Engine,orbitalRocketry1967,1967,05-LUNAR,,true,Apollo,AJ10_137,,,,,,AJ10-137,"bluedog_Apollo_Block2_ServiceEngine,FASAApollo_SM_Engine,KW2mengineSPS,ROAJ10-137,SSTU-SC-ENG-AJ10-137,SSTU-SC-B-SM,AJ10_137",,,,,,,,,,,X,,,,,,,,,,
AJ10_137,AJ10-137 (Service Propulsion System),700,24500,The Aerojet AJ10-137 rocket engine used on the Apollo Service Module as the Service Propulsion System. Diameter: [3.9 m]. Plume configured by RealPlume.,RealEngines,Yes,Yes,ORBITAL,SM Engine,orbitalRocketry1967,1968,05-LUNAR,,true,Apollo,AJ10_137,,,,,,AJ10-137,"bluedog_Apollo_Block2_ServiceEngine,FASAApollo_SM_Engine,KW2mengineSPS,ROAJ10-137,SSTU-SC-ENG-AJ10-137,SSTU-SC-B-SM,AJ10_137",,,,X,,,,X,,,,x,,,,,,,,,
AJ10_190,AJ10-190,400,8000,"Low thrust pressure-fed hypergolic engine. It was used on the Space Shuttle for orbital insertion, maneuvering and deorbiting. Currently used by the Orion MPCV. Diameter: [1.17 m]. Plume configured by RealPlume.",RealEngines,Yes,Yes,ORBITAL,RCS Engine,orbitalRocketry1981,1981,07-SPCPLANES,,true,Shuttle,AJ10_190,,,,,,AJ10-190,"CHAKAOME2,SSTU-SC-ENG-AJ10-190,omsEngine,AJ10_190",,,,,,,,,,,,,,,,,,,,,
AJ10_37,AJ10 Series (Early),150,3000,"Small pressure-fed hypergolic upper stage engine. Derivative of the first US liquid rocket engine, the AJ10 series is perhaps the longest-lived of any engine series, a part of the US's first satellite launch vehicle, Vanguard, the Apollo CSM, and even one projected Orion service module. This is the original Vanguard second stage / Able / Delta configuration, without restart capability. Plume configured by RealPlume.",RealEngines,Yes,Yes,ORBITAL,US Engine,orbitalRocketry1956,1956,02-SAT,,true,AJ10 (Early),AJ10_Early,,,,,,AJ10-37,"bluedog_ableEngine,SSTU-AJ10-CustomEarly,SXTAJ10,rn_aj10_37,AJ10_37",,,,X,,,,,,,,X,,,,,,,,,
AJ10-101A,AJ10-101A,1,"1000, AJ10-42",Used on Able II on Thor and Atlas.,Engine_Config,Yes,,ORBITAL,,orbitalRocketry1959,1959,02-SAT,,,"Atlas-Able, Thor-Able",AJ10_Early,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ10-104,AJ10-104,0,"25000, AJ10-101A",Used on Ablestar,Engine_Config,Yes,,ORBITAL,,orbitalRocketry1960,1960,02-SAT,,,,AJ10_Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ10-118,AJ10-118,-30,"1000, AJ10-142",Used on Delta A,Engine_Config,Yes,,ORBITAL,,orbitalRocketry1962,1962,03-HUMAN,Yes,,,AJ10_Early,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ10-118D,AJ10-118D,10,"5000, AJ10-118",Used on Delta B-D,Engine_Config,Yes,,ORBITAL,,orbitalRocketry1962,1962,03-HUMAN,,,,AJ10_Early,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ10-118E,AJ10-118E,-25,"5000, AJ10-104, AJ10-118D",Used on Delta E-N,Engine_Config,Yes,,ORBITAL,,orbitalRocketry1965,1965,04-ADV,,,,AJ10_Mid,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,
