Name,Title,Description,MOD,Cost,EntryCost,CATEGORY,INFO,Year,Tech,ERA,RO,RP-0,ORPHAN,RP0conf,SPACECRAFT,ENGINE CONFIG,UPGRADE,ECMS,IdentPart,Avionics,DecreaseA,DecreaseB,EngineLiquidPF,EngineLiquidTurbo,EngineSolid,Habitable,HumanRated,Instruments,Nuclear,Reentry,Toxic,Decoupler,Hydrolox,TankBalloon,TankServiceModule,NonReentryRated,UnpressurizedCockpit
RO-Kestrel,Kestrel Vacuum Engine,Pressure-fed kerosene/LOX engine that was used in the second stage of the Falcon 1 launcher. Diameter: [1.4 m]. Plume configured by RealPlume.,AIES,40,800,ORBITAL,US Engine,2006,orbitalRocketry2004,09-INTL,Yes,Yes,,TRUE,Falcon 1 (Kestrel),Kestrel,,Kestrel,Kestrel,,,,,MODULE  {  name = ModuleTagEngineLiquidTurbo  },,,,,,,,,,,,,
microEngineSE1,Lunar Module Ascent Engine,Pressure-fed engine used for the ascent module of the Apollo lunar lander. Diameter: [0.86 m]. Plume configured by RealPlume.,AIES,550,11000,EDL,Lander Engine,1969,lunarLanding,05-LUNAR,Yes,Yes,,TRUE,Apollo LEM,LMAE,,,Apollo LMAE,,,,MODULE  {  name = ModuleTagEngineLiquidPF  },,,,MODULE  {  name = ModuleTagHumanRated  },,,,,,,,,,
Dishmccomu,AIES CommTech CM-60 Dish,"Medium dish, useful anywhere within the inner planets. Higher bandwidth than CL-1.",AIES,1000,20000,COMMS,Dish,1964,improvedComms,04-ADV,Yes,Yes,,TRUE,,,,,,,,,,,,,,MODULE  {  name = ModuleTagInstruments  },,,,,,,,,
Dishpcf,AIES CommTech PCF-5 Dish,"A light dish for short range communication. (PART IN PROGRESS, MAY NOT WORK)",AIES,800,16000,COMMS,Dish,1964,improvedComms,04-ADV,Rework,Yes,,TRUE,,,,,,,,,,,,,,MODULE  {  name = ModuleTagInstruments  },,,,,,,,,
orbitaiespod,AIES C1 'Orbiter',"The Orbiter pod was initially of a conical design, but the early prototypes had problems with ergonomics for spaceship controls. The production version became more bulky and heavy, but at least you can operate the craft now.",AIES,1500,52000,COMMAND,Command Module,1961,basicCapsules,03-HUMAN,Yes,Yes,,TRUE,Basic Capsule,,,,,MODULE  {  name = ModuleTagAvionics  },,,,,,MODULE  {  name = ModuleTagHabitable  },MODULE  {  name = ModuleTagHumanRated  },,,MODULE  {  name = ModuleTagReentry  },,,,,,,
xluzopl,AIES OPL-Lum Illuminator,"Small but powerful, this lighting system is quite useful in dark places. No, it's not a lamp.",AIES,1,1,ELECTRONICS,Light,0,unlockParts,00-START,Yes,Yes,,TRUE,,,,1,,,,,,,,,,,,,,,,,,,
legstrotLandingLeg,AIES Legstrot Landing Leg,VHME-T is an effective landing system leaving enough space below. This development was a challenge for the AIES engineering department but we are very satisfied with the results.,AIES,120,2400,EDL,Legs,1964,earlyLanding,04-ADV,Yes,Yes,,TRUE,,,,legsEarly,,,,,,,,,,,,,,,,,,,
galaxvr2,Aestus Vacuum Engine,Upper stage engine of the Ariane 5ES. Burns hypergolic propellants. Diameter: [1.5 m]. Plume configured by RealPlume.,AIES,550,11000,ORBITAL,US Engine,1996,orbitalRocketry1992,08-LONGTERM,Yes,Yes,,TRUE,Ariane 5ES,Aestus,,Aestus,,,,,,MODULE  {  name = ModuleTagEngineLiquidTurbo  },,,,,,,MODULE  {  name = ModuleTagToxic  },,,,,,
dest5Engine,Generic 2kN Thruster,"Thruster for orbital maneuvers, similar to ones used in the Galileo probe. Plume configured by RealPlume.",AIES,120,2400,RCS,RCS Engine,1963,improvedFlightControl,03-HUMAN,Yes,Yes,,TRUE,,RCSBlock8x,,,,,,,MODULE  {  name = ModuleTagEngineLiquidPF  },,,,,,,,,,,,,,
Dishcl1,AIES CommTech CL-1 Dish,"An early, small high-gain antenna. Rather wide cone and high bandwidth for Comm satellites in GEO, live video from the Moon, and similar tasks. Effective range ~37 Gm, power consumption 50 Watts.",AIES,500,10000,COMMS,Dish,1961,interplanetaryComms,03-HUMAN,Yes,Yes,,TRUE,,,,,,,,,,,,,,MODULE  {  name = ModuleTagInstruments  },,,,,,,,,
torpod,AIES R350 'TOR' [1.0m],"This small probe was designed to carry out very specialised government space projects, but as the market for space modules grew the 'downgraded consumer version' had to be introduced. Spy cameras are not included.",AIES,15000,300000,AVIONICS,Probe,1992,longTermAvionics,08-LONGTERM,Yes,Yes,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
moduldesspod,AIES P1 'Moduldess',Previously a deep water research bathysphere (which previously was a pressure cooker) is now used for interplanetary travel. The waterproof interior has a single seat for kerbonaut and a full set of controls to operate the spacecraft. The waterproof quality is achieved by newly discovered phenomenon known as 'There is no water in space'.,AIES,1800,66000,COMMAND,Command Module,1961,basicCapsules,03-HUMAN,Yes,Yes,,TRUE,,,,,,MODULE  {  name = ModuleTagAvionics  },,,,,,MODULE  {  name = ModuleTagHabitable  },MODULE  {  name = ModuleTagHumanRated  },,,MODULE  {  name = ModuleTagReentry  },,,,,,,
enginelmodc,Lunar Module Descent Engine,"Deeply throttleable pressure-fed vacuum engine used for the descent module of the Apollo lunar lander. Uses storable propellants which are not subject to boiloff, but are far less efficient than hydrolox or even kerolox. The version used on J-class missions had slightly higher specific impulse (this, along with other changes, gave enough payload capacity for the rover, for example). A later variant (TR-201) was used on Delta as an upper stage engine (on Delta P series); this was a low-cost model with more restarts (4 instead of 2) and slightly higher thrust but lower efficiency and no throttling capability. Diameter: [1.5 m]. Plume configured by RealPlume.",AIES,900,18000,EDL,Engine,1969,lunarLanding,05-LUNAR,Yes,Yes,,TRUE,Apollo LEM,LMDE,,,Apollo LMDE,,,,MODULE  {  name = ModuleTagEngineLiquidPF  },,,,MODULE  {  name = ModuleTagHumanRated  },,,,,,,,,,
investpod,CubeSat Core,Something so small you can throw it away and not realize it's potential.,AIES,5,100,AVIONICS,Probe,2003,internationalAvionics,09-INTL,Yes,Yes,,TRUE,,,,,,MODULE  {  name = ModuleTagAvionics  },,,,,,,,,,,,,,,,,
dishcomlar1,AIES Comlar 1 Dish,"A powerful high-gain fixed dish, capable of reaching Saturn. High bandwidth.",AIES,1500,30000,COMMS,Dish,1967,advancedComms,05-LUNAR,Yes,Yes,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
PAPBarometer,AIES P.A.P. Barometer,Measures the pressure of the atmosphere. Surprise!,AIES,1,1,SCIENCE,Barometer,0,unlockParts,00-START,Yes,Yes,,TRUE,,,,1,Barometer,,,,,,,,,MODULE  {  name = ModuleTagInstruments  },,,,,,,,,
Maxurpod,702MP Satellite Bus,Large Satellite Bus for your bigger satellites in orbit.,AIES,15000,300000,AVIONICS,Probe,1999,internationalAvionics,09-INTL,Yes,Yes,,TRUE,Boeing 702 Satellite,,,,,MODULE  {  name = ModuleTagAvionics  },,,,,,,,,,,,,,,,,
VR1vulcan,RS-68 Series,"1990s Medium TWR atmospheric engine. Using technology developed for the Space Shuttle SSME, the RS-68 is a single-use engine, featuring a simplified design with less parts and an easier construction. The RS-68 powers the Delta IV launch vehicle family and is the most powerful LH2/LOX engine ever flown. Exhaust from the gas generator is used for roll control. Diameter: [2.43 m]. Plume configured by RealPlume.",AIES,2850,57000,HYDROLOX,FS Engine,2002,hydrolox1998,09-INTL,Yes,Yes,,TRUE,Delta IV,RS68,,RS-68,RS-68,,,,,MODULE  {  name = ModuleTagEngineLiquidTurbo  },,,,,,,,,MODULE  {  name = ModuleTagHydrolox  },,,,
solarPanelsond1,AIES SON-D1 Solar Panel,"Slightly larger than the ST1 (1.5x) but the newest technology and folding for compact, narrow storage for launch. 0.33m^2.",AIES,100,2000,POWER,Solar,1961,earlyPower,03-HUMAN,Yes,Yes,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
UAEcubplate,GEOStar-2 Satellite Bus,Used in many communications satellite the GEOStar-2 satellite bus will be perfect for your medium sized builds.,AIES,15000,300000,AVIONICS,Probe,2002,internationalAvionics,09-INTL,Yes,Yes,,TRUE,,,,,,MODULE  {  name = ModuleTagAvionics  },,,,,,,,,,,,,,,,,
rcsThrustermicrosn,AIES SN-1 Micro RCS Thruster Block,Low thrust and low consumption is not a downside of this RCS block. Using this system will help you avoid wasting precious RCS fuel.,AIES,15,300,RCS,RCS,1959,earlyFlightControl,02-SAT,Yes,Yes,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
expendLandingLeg,AIES 'Expend' Landing,"Small leg, just right for your lightweight probes.",AIES,100,10000,EDL,Legs,1966,lunarRatedHeatshields,04-ADV,Yes,Yes,,TRUE,,,,legsEarly,,,,,,,,,,,,,,,,,,,
solarPanelsfa,AIES SFA Solar panel,Making things bigger only helps if you can make them more compact for launch...so fold things up. 1.8m^2.,AIES,200,5000,POWER,Solar,1963,basicPower,03-HUMAN,Yes,Yes,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
solarPanelsuncat1,AIES SunCat-1B Solar Panel,"The newest technology and folding for compact, narrow storage for launch. 0.8625m^2.",AIES,225,4500,POWER,Solar,1963,basicPower,03-HUMAN,Yes,Yes,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
neptuno,HS-333 Satellite Bus,Satellite bus originally launched in 1972.,AIES,15000,300000,AVIONICS,Probe,1972,advancedAvionics,06-STATION,Yes,Yes,,TRUE,HS-333 Satellite Bus,,,,,MODULE  {  name = ModuleTagAvionics  },,,,,,,,,,,,,,,,,
liquidEngineorbit2,LR91 Series,The LR91 powered the second stage of Titan launchers. Exhaust from the gas generator provided roll control. Diameter: [2.9 m]. Plume configured by RealPlume.,AIES,250,5000,ORBITAL,US Engine,1959,orbitalRocketry1959,02-SAT,Yes,Yes,,TRUE,Titan,LR91,,LR91-AJ-3,LR91,,,,,MODULE  {  name = ModuleTagEngineLiquidTurbo  },,,,,,,,,,,,,
saltguia,AIES A1 'Saltguia' Laser,"Superior red beam projector. Used as a reference for approximation to ground when landing, especially when the place is very dark.",AIES,10,200,EDL,Other,1960,humanRatedEDL,02-SAT,Yes,Yes,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
liquidEngineprodulVR2,LR87 Booster,"Used in the first stage of the Titan rocket family, the LR87 is composed of two engines with separate turbomachinery integrated into one unit. The version used on Titan I burned kerosene and liquid oxygen, while Titan II through Titan IV burned storable propellants. A modified version burning liquid hydrogen was developed for the upper stages of Saturn V and Saturn IB, but the J-2 was selected instead. Diameter: [3.0 m]. Plume configured by RealPlume.",AIES,500,10000,ORBITAL,FS Engine,1959,orbitalRocketry1959,02-SAT,Yes,Yes,,TRUE,Titan,LR87,,LR87-AJ-3,LR87,,,,,MODULE  {  name = ModuleTagEngineLiquidTurbo  },,,,,,,,,,,,,
LRDecoupler,AIES LR Decoupler,"Decoupled system safe and reliable, at least I mentioned AIES engineers",AIES,20,1,MATERIALS,Decoupler,0,unlockParts,00-START,Yes,Yes,,TRUE,,,,1,,,,,,,,,,,,,,,,,,,
Thermometermt1,AIES MT-1 Thermometer,This superior device is used to measure the temperature. Like you don't know.,AIES,1,1,SCIENCE,Thermometer,0,unlockParts,00-START,Yes,Yes,,TRUE,,,,1,Thermometer,,,,,,,,,MODULE  {  name = ModuleTagInstruments  },,,,,,,,,
escalerar2s,AIES ESCALER R2S Mobility Enhancer,"Compact ladder, should be positioned without anything blocking it from below so it could be extended downwards twice in size.",AIES,10,1,EDL,Ladder,0,unlockParts,00-START,Yes,Yes,,TRUE,,,,ladder,,,,,,,,,,,,,,,,,,,
sondex2pod,Modular Common Spacecraft Bus,Main Core for a satellite designed around the MCSB (Modular Common Spacecraft Bus).,AIES,15100,302000,AVIONICS,Probe,2013,modernAvionics,10-COMM,Yes,Yes,,TRUE,LADEE,,,,,MODULE  {  name = ModuleTagAvionics  },,,,,,,,,,,,,,,,,
AIESrcsThrusrom9,AIES ROM-9 RCS Thruster Block,The RCS drive is necessary to maneuver spacecraft in space and allows greater control in the atmosphere.,AIES,20,400,RCS,RCS,1959,earlyFlightControl,02-SAT,Yes,Yes,,TRUE,,,,,,,,,MODULE  {  name = ModuleTagEngineLiquidPF  },,,,,,,,,,,,,,
AIESrcsThrusrmt1,AIES MT-1 RCS Thruster Port,"Linear RCS drive, best used for rotation. (This part refers to an RO RCS config that is not defined, and may not work correctly.)",AIES,12,240,RCS,RCS,1959,earlyFlightControl,02-SAT,Rework,Yes,,TRUE,,,,,,,,,MODULE  {  name = ModuleTagEngineLiquidPF  },,,,,,,,,,,,,,
liquidEnginemogulmp1500,RD-170 Series,"1980s to present, High TWR, atmospheric booster engine. The RD-170 is the most powerful liquid rocket engine ever flown. Originally developed for the Energia launcher's boosters, the engine consists of four combustion chambers fed by a single turbopump. A modified version, the RD-171, is used on the first stage of the Zenit launch vehicle. Diameter: [3.8 m]. Plume configured by RealPlume.",AIES,5400,108000,STAGED,FS Engine,1987,stagedCombustion1986,08-LONGTERM,Yes,Yes,,TRUE,Energia,RD170,,RD-170,RD-170,,,,,MODULE  {  name = ModuleTagEngineLiquidTurbo  },,,,,,,,,,,,,
godLandingLeg,AIES GODEX-1A Landing,Guaranteed not to crack on the heavyweight crafts. Warranty - one day after purchase.,AIES,300,6000,EDL,Legs,1968,lunarLanding,05-LUNAR,Yes,Yes,,TRUE,,,,legsImproved,,,,,,,,,,,,,,,,,,,
godLandingLeg2,AIES GODEX-1B Landing Strut,"The same as ""GODEX-1A"", the only difference is the color. It's all about variety!",AIES,300,6000,EDL,Legs,1968,lunarLanding,05-LUNAR,Yes,Yes,,TRUE,,,,legsImproved,,,,,,,,,,,,,,,,,,,
plommsLandingLeg,AIES PLOMM-S Landing,"Not the sturdiest landing strut, but is very compact when closed.",AIES,120,2400,EDL,Legs,1968,lunarLanding,05-LUNAR,Yes,Yes,,TRUE,,,,legsImproved,,,,,,,,,,,,,,,,,,,
solarPanelsfa2,AIES SunCat-2B Solar Panel,"The newest technology and folding for compact, narrow storage for launch. 1.725m^2.",AIES,450,9000,POWER,Solar,1963,basicPower,03-HUMAN,Yes,Yes,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
novapod,AIES G1 'Nova' [2.0m],This compact and reliable multi-purpose probe features the best fake tinfoil available on the market to increase its lifetime.,AIES,15000,300000,AVIONICS,Probe,1992,longTermAvionics,08-LONGTERM,Yes,Yes,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
microEngineex1sat,Generic 0.5kN Thruster [0.3 m],"Thruster for orbital maneuvers, similar to ones used in the Galileo probe. Plume configured by RealPlume.",AIES,30,600,RCS,RCS Engine,1959,earlyFlightControl,02-SAT,Yes,Yes,,TRUE,,RCSBlockDouble,,,0.5 kN Thruster,,,,MODULE  {  name = ModuleTagEngineLiquidPF  },,,,,,,,,,,,,,
fuelTanklunderl,AIES Lunder-L Fuel Tank,This tank (actually a set of tanks) was created to meet the requirements of lunar and interplanetary missions. It is lightweight and efficient. (PART NOT COSTED BY RP-0 BUT IN CORRECT NODE),AIES,1,1,MATERIALS,Fuel Tank,0,unlockParts,00-START,Yes,No Cost,Yes,FALSE,,,,,,,,,,,,,,,,,,,,,,,
tanktoemv2,AIES MV-2 TOE Fuel Tank,Made for probes and satellites of bigger-then-average sizes.,AIES,108,5,MATERIALS,Fuel Tank,1950,postWarMaterialsScience,01-PW,Yes,Yes,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
tankminsond,AIES 'Minsond' Micro Fuel Tank,The right amount of fuel for small probes.,AIES,12,5,MATERIALS,Fuel Tank,1950,postWarMaterialsScience,01-PW,Yes,Yes,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
fuelTanksuperior3,AIES Superior-V3 Fuel Tank,"This enhanced version of ""Superior-R2"" gave birth to the new 'strategic' line of fuel tank designs. (PART NOT COSTED BY RP-0 BUT IN CORRECT NODE)",AIES,2,1,MATERIALS,Fuel Tank,0,unlockParts,00-START,Yes,No Cost,Yes,FALSE,,,,,,,,,,,,,,,,,,,,,,,
fuelTanksul,AIES SUL-V1 Fuel Tank,A little cousin to the Superior-V3 continues the 'strategic' line of fuel tank design. (PART NOT COSTED BY RP-0 BUT IN CORRECT NODE),AIES,1,1,MATERIALS,Fuel Tank,0,unlockParts,00-START,Yes,No Cost,Yes,FALSE,,,,,,,,,,,,,,,,,,,,,,,
RCS125ra,AIES RA-125 RCS Fuel,This 2.5m RCS tank has the size and capacity to carry out most of the missions you throw it into. (PART NOT COSTED BY RP-0 BUT IN CORRECT NODE),AIES,1,1,MATERIALS,Fuel Tank,0,unlockParts,00-START,Yes,No Cost,Yes,FALSE,,,,,,,,,,,,,,,,,,,,,,,
tankorb1,AIES ORB-1 Fuel Tank,A small experimental tank made to boost the payload of any space mission. (PART NOT COSTED BY RP-0 BUT IN CORRECT NODE),AIES,1,1,MATERIALS,Fuel Tank,0,unlockParts,00-START,Yes,No Cost,Yes,FALSE,,,,,,,,,,,,,,,,,,,,,,,
ms1RCSTank,AIES MS-1 RCS Fuel,This fairly small and efficient RCS tank was designed for use with the SN-1 Micro RCS Thruster Block. (PART NOT COSTED BY RP-0 BUT IN CORRECT NODE),AIES,1,1,MATERIALS,Fuel Tank,0,unlockParts,00-START,Yes,No Cost,Yes,FALSE,,,,,,,,,,,,,,,,,,,,,,,
fuelTankmr1,AIES MR1 vr2 Fuel Tank,The half sized cousin of the K7 tank. Thickness of the protective steel plate was increased to astonishing 1.4mm! (PART NOT COSTED BY RP-0 BUT IN CORRECT NODE),AIES,5,1,MATERIALS,Fuel Tank,0,unlockParts,00-START,Yes,No Cost,Yes,FALSE,,,,,,,,,,,,,,,,,,,,,,,
retinaGravimeter,AIES Retina Gravimeter,Measures the strength of gravity. Exactly what it says on the tin.,AIES,250,5000,SCIENCE,Orbital Pertubation,1958,scienceSatellite,02-SAT,Yes,Yes,,TRUE,,,,,,,,,,,,,,MODULE  {  name = ModuleTagInstruments  },,,,,,,,,
tankMER1,AIES MER-1 Fuel Tank,This elegant fuel tank will benefit any final stage from both the aesthetic and performance perspectives. (PART NOT COSTED BY RP-0 BUT IN CORRECT NODE),AIES,1,1,MATERIALS,Fuel Tank,0,unlockParts,00-START,Yes,No Cost,Yes,FALSE,,,,,,,,,,,,,,,,,,,,,,,
satpropt300FuelTank,AIES T60 'SatProp' Fuel Tank,After the satellite probes were designed a lot of golden tinfoil was left over. By using some metal boxes and battery parts this line of fuel tanks was created.,AIES,12,5,MATERIALS,Fuel Tank,1950,postWarMaterialsScience,01-PW,Yes,Yes,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
fuelTank7k,AIES K7 Fuel Tank,"A large tank with lots of fuel. Features ""1mm Steel Plate""â„¢ to protect it from environmental hazards. (PART NOT COSTED BY RP-0 BUT IN CORRECT NODE)",AIES,10,1,MATERIALS,Fuel Tank,0,unlockParts,00-START,Yes,No Cost,Yes,FALSE,,,,,,,,,,,,,,,,,,,,,,,
tank1300cl,AIES CL-1300 B Fuel Tank,"This is the upgrade CL1300, with the same characteristics of the old model will remain a cornerstone for the program AIES (PART NOT COSTED BY RP-0 BUT IN CORRECT NODE)",AIES,2,1,MATERIALS,Fuel Tank,0,unlockParts,00-START,Yes,No Cost,Yes,FALSE,,,,,,,,,,,,,,,,,,,,,,,
RCSTanka5a,AIES A5A RCS Fuel,While developing the smaller line of RCS fuel tanks <CLASSIFIED> had brought up a topic of transportation safety. Because it was 'The Invention Day' this idea was not scrapped and the storage devices were redesigned. (PART NOT COSTED BY RP-0 BUT IN CORRECT NODE),AIES,1,1,MATERIALS,Fuel Tank,0,unlockParts,00-START,Yes,No Cost,Yes,FALSE,,,,,,,,,,,,,,,,,,,,,,,
basepuntv2r10,AIES V2-R11 Fairing Base,"Basis for protective fairings (TOP-1000, TOP-1500, TOP-2000). Not a decoupler.",AIES,2,1,MATERIALS,Fairing Base,0,unlockParts,00-START,Yes,Yes,,TRUE,,,,1,,,,,,,,,,,,,,,,,,,
explonpod,AS-4000 Satellite Bus,Satellite bus as used in the GPS IIF Satellites.,AIES,15000,300000,AVIONICS,Probe,1985,nextGenAvionics,07-SPCPLANES,Yes,Yes,,TRUE,AS-4000,,,,,MODULE  {  name = ModuleTagAvionics  },,,,,,,,,,,,,,,,,
radr,SNAP-19 RTG,SNAP-19 as found on Pioneer and Viking spacecraft. This has a mounting bracket too.,AIES,11917,119170,NUCLEAR,RTG,1972,improvedRTG,06-STATION,Yes,Yes,,TRUE,"Pioneer, Viking",,,"50000,RTGlevel3",,,,,,,,,,,MODULE  {  name = ModuleTagNuclear  },,,,,,,,
Sasdv4,AIES DV4 - Advanced S.A.S,A.S.A.S. module for large rockets with two pre-installed IK&K Labs 32A microprocessors!,AIES,3250,65000,RCS,Reaction Wheel,1972,spaceStationControl,06-STATION,Yes,Yes,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
advSascr3,AIES CR3 - Advanced S.A.S,By using the latest breakthroughs in material compression it became possible to make the A.S.A.S. unit that is thinner than the ones of competitors.,AIES,2500,50000,RCS,Reaction Wheel,1972,spaceStationControl,06-STATION,Yes,Yes,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
Dishomega2g,AIES CommTech Omega-2G Dish,"Excellent as an orbital relay, or for communicating as far as Jupiter.",AIES,950,19000,COMMS,Dish,1967,advancedComms,05-LUNAR,Yes,Yes,,TRUE,,,,,,,,,,,,,,MODULE  {  name = ModuleTagInstruments  },,,,,,,,,
tankMER6,AIES MER-6 Fuel Tank,The MER-6 - think for it as a stripped down of its elegance version of the MER-1. It sees active service again even despite the fact of its imminent replacement. (PART NOT COSTED BY RP-0 BUT IN CORRECT NODE),AIES,1,1,MATERIALS,Fuel Tank,0,unlockParts,00-START,Yes,No Cost,Yes,FALSE,,,,,,,,,,,,,,,,,,,,,,,
desacopladorsat3,AIES SAT-3 Decoupler,This ultra-thin decoupler is used to save the precious space so important in some crafts. (PART NOT COSTED BY RP-0 BUT IN CORRECT NODE),AIES,400,5200,MATERIALS,Decoupler,1952,earlyMaterialsScience,01-PW,Yes,No Cost,,FALSE,,,,,,,,,,,,,,,,,,MODULE  {  name = ModuleTagDecoupler  },,,,,
baseinstrul8,AIES L8 Base Plate,"Useful to hold all scientific instruments, perfect for a probe core. Comes in two different shapes.",AIES,25,500,MATERIALS,Other,1956,materialsScienceSatellite,02-SAT,Yes,Yes,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
basef1sond,AIES F1 'Sond' Base Plate,"Useful to hold all scientific instruments, perfect for a probe core. Comes in two different shapes.",AIES,25,500,MATERIALS,Other,1956,materialsScienceSatellite,02-SAT,Yes,Yes,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
liquidEngineconstelacion,J-2X,"2000s medium TWR, vacuum engine. The J-2X was intended to be used on the upper stages of Ares I and Ares V. Development continued after the cancellation of Ares, and early designs of SLS incorporated the engine, but selection of the RL10-powered Exploration Upper Stage resulted in the project being mothballed. Diameter: [3.0 m]. Plume configured by RealPlume.",AIES,3310,158860,HYDROLOX,US Engine,2012,hydrolox2009,10-COMM,Yes,Yes,,TRUE,J-2X,J2X,,J-2X,J-2X,,,,,MODULE  {  name = ModuleTagEngineLiquidTurbo  },,,,,,,,,MODULE  {  name = ModuleTagHydrolox  },,,,
